name,level,session,dois
P DI GIAMBERARDINO,2,5,"10.1016/j.scico.2015.01.005, 10.4204/EPTCS.131.2, 10.4204/EPTCS.64.5, 10.1017/S0960129514000632, 10.1017/S0960129516000414, 10.1080/21681163.2015.1049844, 10.1016/j.bspc.2016.09.011, 10.1016/j.apal.2008.04.002"
S CHIUSANO,1,4,"10.1016/j.eswa.2013.02.006, 10.1109/24.994929, 10.1023/A:1008326928340, 10.1023/A:1008322011010, 10.1016/j.ins.2015.06.006, 10.1142/S021962201850030X, 10.1145/2508037.2508051, 10.1016/j.eswa.2017.08.017, 10.1109/40.958696, 10.1109/TKDE.2007.190677, 10.1016/j.ins.2014.08.073, 10.1145/1042046.1042048, 10.1016/j.knosys.2015.04.023, 10.1109/54.953276, 10.1109/TKDE.2008.180, 10.1016/j.eswa.2016.02.005, 10.1109/MDT.2002.1003804, 10.1007/s00607-016-0505-x, 10.1145/2700479, 10.1002/int.20404, 10.1016/j.camwa.2006.12.086, 10.1016/j.ins.2018.08.002"
T GAGIE,1,5,"10.1016/j.tcs.2010.04.024, 10.1016/j.jda.2014.08.001, 10.1016/j.ipl.2008.06.006, 10.1016/j.ejc.2012.07.016, 10.1007/s00453-017-0381-6, 10.3233/FI-2009-204, 10.1016/j.tcs.2017.06.016, 10.1093/comjnl/bxx108, 10.1016/j.tcs.2008.11.003, 10.1142/S0129054118400014, 10.1016/j.ipl.2006.04.008, 10.1016/j.jda.2017.04.002, 10.1109/TCBB.2015.2418753, 10.1007/s00453-012-9726-3, 10.1007/s10791-017-9297-7, 10.1016/j.jda.2011.01.003, 10.1016/j.jda.2018.09.002, 10.1016/j.tcs.2017.04.019, 10.1016/j.jda.2014.10.003, 10.1016/j.dam.2010.05.016, 10.1016/j.ipl.2006.09.015, 10.1007/s11786-016-0286-9, 10.1016/j.ipl.2005.03.014, 10.1093/bioinformatics/btx067, 10.1016/j.tcs.2011.12.002, 10.1007/s00453-014-9957-6, 10.1007/s11786-016-0283-z, 10.1109/TIT.2015.2452252, 10.1016/j.comgeo.2013.08.002, 10.1016/j.ipl.2005.10.006, 10.3390/a5010050, 10.1016/j.ipl.2012.06.017, 10.1016/j.tcs.2012.08.004, 10.1007/s00453-011-9535-0, 10.1016/j.jda.2016.11.003, 10.1016/j.ipl.2008.07.004, 10.1016/j.jda.2011.08.001"
T GAGIE,2,5,"10.1016/j.tcs.2010.04.024, 10.1016/j.jda.2014.08.001, 10.1016/j.ipl.2008.06.006, 10.1016/j.ejc.2012.07.016, 10.1007/s00453-017-0381-6, 10.3233/FI-2009-204, 10.1016/j.tcs.2017.06.016, 10.1093/comjnl/bxx108, 10.1016/j.tcs.2008.11.003, 10.1142/S0129054118400014, 10.1016/j.ipl.2006.04.008, 10.1016/j.jda.2017.04.002, 10.1109/TCBB.2015.2418753, 10.1007/s00453-012-9726-3, 10.1007/s10791-017-9297-7, 10.1016/j.jda.2011.01.003, 10.1016/j.jda.2018.09.002, 10.1016/j.tcs.2017.04.019, 10.1016/j.jda.2014.10.003, 10.1016/j.dam.2010.05.016, 10.1016/j.ipl.2006.09.015, 10.1007/s11786-016-0286-9, 10.1016/j.ipl.2005.03.014, 10.1093/bioinformatics/btx067, 10.1016/j.tcs.2011.12.002, 10.1007/s00453-014-9957-6, 10.1007/s11786-016-0283-z, 10.1109/TIT.2015.2452252, 10.1016/j.comgeo.2013.08.002, 10.1016/j.ipl.2005.10.006, 10.3390/a5010050, 10.1016/j.ipl.2012.06.017, 10.1016/j.tcs.2012.08.004, 10.1007/s00453-011-9535-0, 10.1016/j.jda.2016.11.003, 10.1016/j.ipl.2008.07.004, 10.1016/j.jda.2011.08.001"
E FERSINI,2,1,"10.1007/s12652-016-0373-4, 10.1016/j.specom.2011.06.001, 10.1016/j.dss.2014.10.004, 10.1016/j.ipm.2007.11.003, 10.1186/s12859-014-0353-7, 10.1142/S0218001413500134, 10.1108/00330331211221846, 10.1016/j.ipm.2009.08.003, 10.1007/s10852-010-9140-2, 10.1007/s10506-015-9162-1, 10.1016/j.ipm.2015.04.004, 10.1007/s10579-018-9415-1, 10.1016/j.ipm.2014.04.005, 10.1007/s11280-016-0419-8"
A PASSERINI,1,4,"10.1186/1471-2105-8-39, 10.1007/s10994-016-5587-3, 10.1016/j.artint.2015.04.002, 10.1007/s10618-016-0476-8, 10.1007/s10472-009-9137-6, 10.1186/1471-2105-15-309, 10.1186/1471-2105-15-16, 10.1093/bioinformatics/btn371, 10.1109/TKDE.2013.127, 10.1109/TEVC.2010.2058118, 10.1007/s10994-009-5163-1, 10.1109/TNNLS.2013.2275918, 10.1186/1471-2105-9-20, 10.1007/s10994-010-5194-7, 10.1186/1471-2105-15-103, 10.1007/s10506-007-9038-0, 10.3233/FI-2011-604, 10.1186/1471-2105-11-115, 10.3389/frobt.2017.00071, 10.1016/j.artint.2017.01.002, 10.1093/nar/gkr365, 10.1109/TNN.2003.820841, 10.1016/j.artint.2013.08.002, 10.1023/B:VLSI.0000003026.58068.ce, 10.1109/TCBB.2011.94, 10.1093/nar/gkl266, 10.1093/bioinformatics/btw517"
R TONELLI,1,5,"10.7717/peerj-cs.73, 10.1186/s40411-017-0044-y, 10.1142/S0218194017500401, 10.1142/S0218127406016124, 10.1142/S0218127400000682, 10.1142/S0218127400001675, 10.1109/TSE.2011.54, 10.3390/fi10110103, 10.1016/j.ins.2013.05.014, 10.1142/S0218194012500131, 10.1155/2010/729826, 10.1142/S0218194013500034, 10.5381/jot.2012.11.2.a7, 10.1142/S0218127402005406, 10.1016/j.ins.2010.10.022, 10.1093/comjnl/bxy001"
R TONELLI,2,2,"10.7717/peerj-cs.73, 10.1186/s40411-017-0044-y, 10.1142/S0218194017500401, 10.1142/S0218127406016124, 10.1142/S0218127400000682, 10.1142/S0218127400001675, 10.1109/TSE.2011.54, 10.3390/fi10110103, 10.1016/j.ins.2013.05.014, 10.1142/S0218194012500131, 10.1155/2010/729826, 10.1142/S0218194013500034, 10.5381/jot.2012.11.2.a7, 10.1142/S0218127402005406, 10.1016/j.ins.2010.10.022, 10.1093/comjnl/bxy001"
R TONELLI,2,5,"10.7717/peerj-cs.73, 10.1186/s40411-017-0044-y, 10.1142/S0218194017500401, 10.1142/S0218127406016124, 10.1142/S0218127400000682, 10.1142/S0218127400001675, 10.1109/TSE.2011.54, 10.3390/fi10110103, 10.1016/j.ins.2013.05.014, 10.1142/S0218194012500131, 10.1155/2010/729826, 10.1142/S0218194013500034, 10.5381/jot.2012.11.2.a7, 10.1142/S0218127402005406, 10.1016/j.ins.2010.10.022, 10.1093/comjnl/bxy001"
M TARINI,1,1,"10.1111/cgf.12697, 10.1111/1467-8659.00404, 10.1145/2766905, 10.1145/2897824.2925956, 10.1111/cgf.12330, 10.1016/j.cag.2004.11.012, 10.1145/2601097.2601179, 10.1145/3130800.3130825, 10.1145/1015706.1015810, 10.1145/3130800.3130845, 10.1109/TVCG.2011.28, 10.1016/j.cag.2016.07.005, 10.1111/j.1467-8659.2009.01610.x, 10.1109/TVCG.2010.136, 10.1007/s003710050197, 10.1145/3197517.3201389, 10.1016/j.gmod.2004.11.002, 10.1145/3072959.3073676, 10.1145/2809785, 10.1109/MCG.2012.92, 10.1109/TVCG.2006.115, 10.1145/3072959.3073635, 10.1111/cgf.12014, 10.1145/2070781.2024176, 10.1145/1015706.1015782, 10.1145/3130800.3130809, 10.1145/2897824.2925898, 10.1145/2816795.2818078, 10.1109/TVCG.2009.96, 10.1111/j.1467-8659.2005.00881.x, 10.1145/2070781.2024183, 10.1080/2151237X.2012.654054"
