id,name,level,subject,articles,real_articles,citations,real_citations,hindex,real_hindex
dkdkurhylhoa,P DI GIAMBERARDINO,2,INFORMATICA,0,0,0,0,0,0
vlrwamzcsrox,S CHIUSANO,1,INFORMATICA,0,0,0,0,0,0
jgluzdfgtaru,T GAGIE,1,INFORMATICA,22,25,247,280,10,11
qvbmshwhuemi,T GAGIE,2,INFORMATICA,13,12,224,220,9,8
qrzvfsadzefz,E FERSINI,2,INFORMATICA,7,14,83,160,5,10
ztcynkrroiis,A PASSERINI,1,INFORMATICA,18,18,234,234,7,7
bdudhaopekdk,R TONELLI,1,INFORMATICA,7,7,80,80,6,6
lpxxhfgtctut,R TONELLI,2,INFORMATICA,4,4,80,80,6,6
kropntxwvhfq,R TONELLI,2,INFORMATICA,4,4,80,80,6,6
kygmulhupfcp,M TARINI,1,INFORMATICA,15,15,294,294,9,9
avglgmkbyhpd,M TARINI,1,INFORMATICA,15,15,294,294,9,9
faspshknpklr,S SCHIFANO,2,INFORMATICA,4,16,120,300,7,13
mdmilengkhkw,S SCHIFANO,2,INFORMATICA,4,16,120,300,7,13
zytakmkdvojj,L ROSASCO,1,INFORMATICA,9,9,309,309,8,8
