doi,subjects
10.1016/j.eswa.2013.02.006,"General Engineering, Artificial Intelligence, Computer Science Applications"
10.1142/S021962201850030X,Computer Science (miscellaneous)
10.1145/2508037.2508051,"Theoretical Computer Science, Artificial Intelligence"
10.1109/TKDE.2008.180,"Computational Theory and Mathematics, Information Systems, Computer Science Applications"
10.1016/j.ipl.2008.06.006,"Signal Processing, Theoretical Computer Science, Information Systems, Computer Science Applications"
10.3233/FI-2009-204,"Theoretical Computer Science, Computational Theory and Mathematics, Algebra and Number Theory, Information Systems"
10.1142/S0129054118400014,Computer Science (miscellaneous)
10.1016/j.ipl.2005.03.014,"Signal Processing, Theoretical Computer Science, Information Systems, Computer Science Applications"
10.1016/j.comgeo.2013.08.002,"Computational Theory and Mathematics, Geometry and Topology, Control and Optimization, Computational Mathematics, Computer Science Applications"
10.1016/j.ipl.2005.10.006,"Signal Processing, Theoretical Computer Science, Information Systems, Computer Science Applications"
10.1016/j.ipl.2008.06.006,"Signal Processing, Theoretical Computer Science, Information Systems, Computer Science Applications"
10.3233/FI-2009-204,"Theoretical Computer Science, Computational Theory and Mathematics, Algebra and Number Theory, Information Systems"
10.1142/S0129054118400014,Computer Science (miscellaneous)
10.1016/j.ipl.2005.03.014,"Signal Processing, Theoretical Computer Science, Information Systems, Computer Science Applications"
10.1016/j.comgeo.2013.08.002,"Computational Theory and Mathematics, Geometry and Topology, Control and Optimization, Computational Mathematics, Computer Science Applications"
10.1016/j.ipl.2005.10.006,"Signal Processing, Theoretical Computer Science, Information Systems, Computer Science Applications"
10.1142/S0218001413500134,"Software, Artificial Intelligence, Computer Vision and Pattern Recognition"
10.1007/s10579-018-9415-1,"Linguistics and Language, Education, Library and Information Sciences, Language and Linguistics"
10.1016/j.ipm.2014.04.005,"Media Technology, Management Science and Operations Research, Library and Information Sciences, Information Systems, Computer Science Applications"
10.1186/1471-2105-15-16,"Biochemistry, Applied Mathematics, Molecular Biology, Structural Biology, Computer Science Applications"
10.1093/bioinformatics/btn371,"Statistics and Probability, Computational Theory and Mathematics, Biochemistry, Molecular Biology, Computational Mathematics, Computer Science Applications"
10.1109/TKDE.2013.127,"Computational Theory and Mathematics, Information Systems, Computer Science Applications"
10.1109/TNNLS.2013.2275918,"Computer Networks and Communications, Software, Artificial Intelligence, Computer Science Applications"
10.1186/1471-2105-15-103,"Biochemistry, Applied Mathematics, Molecular Biology, Structural Biology, Computer Science Applications"
10.3233/FI-2011-604,"Theoretical Computer Science, Computational Theory and Mathematics, Algebra and Number Theory, Information Systems"
10.1016/j.artint.2013.08.002,"Linguistics and Language, Artificial Intelligence, Language and Linguistics"
10.1023/B:VLSI.0000003026.58068.ce,"Signal Processing, Electrical and Electronic Engineering, Information Systems"
10.1016/j.ins.2013.05.014,"Control and Systems Engineering, Theoretical Computer Science, Software, Information Systems and Management, Artificial Intelligence, Computer Science Applications"
10.1142/S0218194013500034,"Computer Networks and Communications, Software, Artificial Intelligence, Computer Graphics and Computer-Aided Design"
10.1093/comjnl/bxy001,General Computer Science
10.1016/j.ins.2013.05.014,"Control and Systems Engineering, Theoretical Computer Science, Software, Information Systems and Management, Artificial Intelligence, Computer Science Applications"
10.1142/S0218194013500034,"Computer Networks and Communications, Software, Artificial Intelligence, Computer Graphics and Computer-Aided Design"
10.1093/comjnl/bxy001,General Computer Science
10.1016/j.ins.2013.05.014,"Control and Systems Engineering, Theoretical Computer Science, Software, Information Systems and Management, Artificial Intelligence, Computer Science Applications"
10.1142/S0218194013500034,"Computer Networks and Communications, Software, Artificial Intelligence, Computer Graphics and Computer-Aided Design"
10.1093/comjnl/bxy001,General Computer Science
10.1111/cgf.12330,Computer Networks and Communications
10.1007/s003710050197,"Software, Computer Vision and Pattern Recognition, Computer Graphics and Computer-Aided Design"
10.1016/j.gmod.2004.11.002,"Modelling and Simulation, Software, Geometry and Topology, Computer Graphics and Computer-Aided Design"
10.1111/cgf.12014,Computer Networks and Communications
10.1111/j.1467-8659.2005.00881.x,Computer Networks and Communications
10.1111/cgf.12330,Computer Networks and Communications
10.1007/s003710050197,"Software, Computer Vision and Pattern Recognition, Computer Graphics and Computer-Aided Design"
